"Inc","N","Ati","Eti","Cat","Rescavocu","Proble","DATOS"

"188","188","10400","1061","12","000100728571120","Ayer gané 12 colores y hoy he perdido 7. ¿Cuántos tendré ahora?"," 12 7"
"217","217","9948","1973","11","000100237311110","Hice 9 dibujos y mi hermana Elena 6. ¿Cuántos hemos hecho entre los dos?"," 9 6"
"579","579","12447","1777","14","000093947921140","Reparto por igual 6 bolas entre 2 niños. ¿Cuántas bolas tocan a cada uno de ellos?"," 6 2"
"154","154","9116","1285","11","000101331101110","Mi padre tiene 12 sellos, Elena 3 y yo 2. ¿Cuántos sellos tenemos en total?"," 12 3 2"
"285","285","12182","3148","12","000099060561120","¿Cuántos coches me quedan si tenía 27 y perdí 9?"," 27 9"
"265","265","11705","1299","11","000099397471110","Nieves tiene 4 globos en la mano derecha y 3 en la izquierda. ¿Cuántos globos tiene en total?"," 3 4"
"892","892","22311","6838","12","000088547251120","Mi madre me dio 61 euros de propina el año pasado y yo gasté 37 euros. ¿Cuántos euros ahorré ese año?"," 61 37"
"1129","1129","15866","7265","61","000084376751710","Eva tenía 3 decenas de rosas y le dieron 8 rosas más. ¿Cuántas tiene ahora?"," 3 10 8"
"1093","1093","28992","1766","71","000084971631710","¿Cuánto es el doble de 4.5?"," 4.5 2"
"1030","1030","16205","4770","71","000086089421710","Si hago 5 restas de llevar todos los días, ¿cuántas restas habré hecho en una semana?"," 5 7"
"1110","1110","28569","5900","14","000085242691140","Tengo que repartir 4000 euros entre 8 amigos. ¿A cuánto tocará cada uno?"," 4000 8"
"1044","1044","12781","5523","13","000085912781130","¿Cuántos dedos de los pies de persona hay en 5 pies de niños pequeños?"," 5 5"
"1716","1716","17850","1963","30","000074214251800","¿Cuántas esquinas hay en 15 cuadrados?"," 15 4"
"1799","1799","12428","3361","71","000072739651710","Tengo 12 años menos 4 meses. ¿Cuántos años cumpliré próximamente?"," NO"
"1291","1291","17227","9348","72","000082129981720","Si corto 150 hojas de papel en 4 partes cada una, ¿cuántos trozos habrá?"," 150 4 1/4 0.25 1"
"1321","1321","17531","2404","72","000081019081720","Tengo media docena de muñecos. ¿Cuántos me faltan para tener 15?"," 12 2 0.5 1/2 15"
"1696","1696","13347","2713","02","000074605031021","Después del quinto viene el ... (1) cuarto, (2) sexto, (3) quinto."," NO"
"1684","1684","14169","3458","61","000075339011601","¿Cuál es el número formado por 6 centenas y 4 unidades?"," 6 100 4"
"2303","2303","11753","3978","61","000064257741600","¿Cuántas centenas hay en 25 millares?"," 25000 100 25 1000"
"1836","1836","13593","9743","72","000072086131720","¿Cuánto es la mitad de 6/3?"," 6/3 1/2 1/3 0.5 2 3"
"2230","2230","11541","2784","61","000065372421710","Tengo 7 docenas de canicas y compro 3 decenas más. ¿Cuántas canicas tendré?"," 7 12 3 10"
"2113","2113","11805","2573","72","000067285021720","¿Cuánto es la quinta parte de 1.5?"," 1.5 5 1/5"
"2220","2220","14090","9144","72","000065511411720","¿Cuántos quintos de manzana obtendré con 16.2 manzanas?"," 1/5 0.2 16.2 5"
"1935","1935","10254","2506","53","000070397851530","Siete niños comen media pizza cada uno, ¿cuántas pizzas comen entre todos?"," 7 1/2 0.5 2"
"2570","2570","8195","1688","08","000059460751080","¿Cuántos ceros necesitas para escribir un billón?"," NO"
"2511","2511","10488","3086","72","000060492381720","Juego 1 hora, descanso media y juego otra vez 3/4 h. ¿Cuántos minutos juego?"," 1 1/2 3/4 0.5 2 0.75 60"
"2403","2403","9188","2630","02","000064669721020","¿Cuál es el número que sigue al anterior a 2319?"," NO"
"2966","2966","6058","3677","02","000056806931020","Ordena de mayor a menor la serie de números: (1) - 9, (2) - 0.2, (3) - 12, (4) 6."," NO"
"2807","2807","5775","3442","53","000055462591530","¿Cuántos minutos tarda la aguja menor del reloj en barrer un ángulo de 90 grados?"," NO"
"2926","2926","6840","4367","61","000053201441710","¿Cuántas centésimas hay en 0.047 unidades?"," 0.047 100"
"3575","3575","8633","1779","71","000042268571710","Calcula la capacidad de 3 recipientes si el 1º hace 72 litros, el 2º 12 más que el 1º y el 3º 7 litros más que los 2 juntos?"," 72 12 7"
"3283","3283","6841","1575","61","000047030931710","¿Cuántas bolas son media docena de bolas más otra decena y media de bolas?"," 0.5 12 1 2 10"
"3393","3393","6176","1574","53","000045127711530","¿Cuántas horas tarda la aguja mayor del reloj en hacer un ángulo de 180 grados?"," NO"
"3240","3240","7874","4330","61","000048397931600","¿Cuántas centésimas son 62 décimas más 84 milésimas?"," 62 84 10 100"
"3471","3471","8183","3029","20","000043801700200","Calcula el valor de la siguiente expresión: ( - 3) + ( - 6) - ( + 5) + ( + 4) - ( + 7)."," 3 7 6 5 4"
"3409","3409","6200","1455","71","000044834351710","Calcula el m.c.m. (mínimo común múltiplo) de 4 y 8."," NO"
"3990","3990","7333","3812","30","000036001831800","¿Cuántos cm. mide una rueda de 2 m. de radio? (Pi=3.14)."," 3.14 2 100"
"4154","4154","6391","1632","03","000032006581030","Si A es mayor o igual que B, ¿B es menor o igual que A? (1) no, (2) si, (3) a veces."," NO"
"3888","3888","4584","482","40","000036575891400","En 1 botella caben 2 vasos de agua. ¿Cuántos vasos caben en 5 botellas iguales?"," 1 2 5"
"3780","3780","6253","2452","40","000038445531400","El triple de un número menos su mitad es igual a 20. ¿Qué número es?"," 1 2 3 0.5 1/2 20"
"4105","4105","5249","431","40","000032813281400","Después de gastar la mitad de mi dinero y luego la mitad de lo que queda, tengo 2 euros. ¿Cuánto tenía al principio?"," 1/2 0.5 2"
"3634","3634","6369","858","72","000040934791720","¿Cuántas medias gomas puedo formar a partir de cuatro gomas y media?"," 4.5 1/2 0.5 2"
"4746","4746","6626","1009","40","000022196751400","Si a un número le quito su cuarta parte, obtengo 375, ¿qué número es?"," 1/4 1 4 375"
"4618","4618","5054","460","52","000023899521520","Calcula el último término de la proporción: 1/2 es a 0.5 como 1/4 es a, ¿cuánto?"," NO"
"4448","4448","6761","2206","81*","000026799931910","Calcula la media aritmética de los números 1.3, 10."," 1.3 10 2"
"4566","4566","4536","1195","20","000024959601201","¿A cuántos millones de euros equivalen 234500 billetes de 500 euros cada billete?"," 234500 500 1000000"
"4445","4445","5218","1675","03","000026964551030","Si B es menor o igual que A, ¿A es mayor a B? (1) no, (2) si, (3) a veces."," NO"
"4752","4752","4424","2640","08","000021679691080","¿Cuántos capicúas podremos formar con todos los números naturales de 3 cifras si exceptuamos las cifras pares?"," NO"
"4982","4982","2523","331","71","000017595261710","¿Cuántas semanas hay en seis meses de 30 días más 23 días?"," 6 30 23 7"
"5317","5317","2215","162","30","000011754921801","¿Cuántas apotemas se pueden trazar en un hexágono regular?"," NO"
"5253","5253","2153","412","30","000012860041801","¿Qué clase de polinomio define a una función cuadrática? (1) de primer grado, (2) de segundo grado, (3) de tercer grado."," NO"
"5031","5031","3611","559","52","000016891981520","¿Por que número hemos de sustituir la X en la siguiente igualdad X / 90 = 250 / X?"," NO"
"4930","4930","2289","532","71","000018470921710","7 grifos echan 630 litros por hora. ¿Cuántas horas tardarán 4 grifos en echar 1260 litros?"," 7 630 4 1260"
"5008","5008","2232","256","40","000017158291400","Si distribuyo 6 euros entre dos muchachos de forma que uno reciba 2 euros más que otro, ¿cuánto recibe el menos afortunado?"," 6 2"
"5551","5551","177","284","61","000007737831601","¿Cuántos gr. le faltan a 7 centigramos para pesar 18 gramos?"," 7 18 100 1"
"5474","5474","97","851","01","000009271121090","Un ángulo de un rombo mide 30º. ¿Cuánto mide cada uno de los otros dos ángulos iguales?"," 360 30 2"
"5874","5874","123","621","30","000002100111800","Si divido la superficie de un círculo entre el cuadrado de su radio, obtengo: (1) el diámetro, (2) el radio, (3) 2, (4) Pi, (5) otra."," NO"
"5544","5544","923","574","51","000046178001510","Has de pagar 52500 euros por la compra de un terreno, pero te descuentan el 27%. ¿Cuánto pagarás?"," 52500 27 100"
"5463","5463","68","299","51","000009264731510","Un objeto pesa 6 kg. y este peso guarda una relación de 3 es a 4 con el de otro objeto. ¿Cuánto pesa este segundo objeto?"," 6 3 4"
"5663","5663","1541","975","20","000005834341200","Un grifo echa 0.8 litros por minuto y otro 0.6 litros por minuto. ¿En cuántos días llenan juntos 6048 litros?"," 6048 0.8 0.6 24 60"
